Job_ID,Company,Job_title,Job_simple,Max_Salary,Pay_Period,Location,Company_ID,Min_Salary,Work_Type,Remote_Allowed,Experience_Level,Compensation_Type,Normalized_Salary,skill,industry_name
3898157998,"First Tek, Inc.",Data Analyst,Data Analyst,45000,YEARLY,"Los Angeles County, CA",74063,40000,Contract,0,Associate,BASE_SALARY,null,Analyst,Entertainment Providers
3898158374,"TechGroup America ""TGA"" - A Software Development, Data Analytics and Digital IT Solutions Enterprise",Data Analyst,Data Analyst,45000,YEARLY,"Los Angeles, CA",13316106,40000,Contract,1,null,BASE_SALARY,null,Information Technology,Software Development
3898164926,Vervent,Data Analyst,Data Analyst,73000,YEARLY,"San Diego, CA",26494838,66560,Full-time,0,Associate,BASE_SALARY,69780,Research,Financial Services
3898166023,ektello,Data Analyst,Data Analyst,32,HOURLY,"Warren, MI",10545600,28,Contract,0,Entry level,BASE_SALARY,62400,Analyst,IT Services and IT Consulting
3898166042,STONE Resource Group,Data Analyst,Data Analyst,40,HOURLY,"Roswell, GA",1211135,35,Contract,0,Associate,BASE_SALARY,78000,Information Technology,Staffing and Recruiting
3898168987,Intellectt Inc,Data Analyst,Data Analyst,230000,YEARLY,"Alameda, CA",14632005,170000,Contract,0,Mid-Senior level,BASE_SALARY,null,Analyst,Medical Equipment Manufacturing
3898174074,Lume Consulting Group,Data Analyst,Data Analyst,230000,YEARLY,Greater Sacramento,18863748,170000,Contract,0,null,BASE_SALARY,null,Information Technology,Information Technology & Services
3899511988,GLDS,Data Analyst,Data Analyst,230000,YEARLY,"Carlsbad, CA",378540,170000,Full-time,1,null,BASE_SALARY,null,Information Technology,Software Development
3899520930,ZealoTech People,Data Analyst,Data Analyst,28,HOURLY,"Irvine, CA",26574100,25,Contract,0,Entry level,BASE_SALARY,55120,Administrative,Aviation and Aerospace Component Manufacturing
3899521803,Ehub Global Inc,Data Architect,Data Architect,230000,YEARLY,"Denver, CO",79482021,170000,Contract,0,Mid-Senior level,BASE_SALARY,null,Analyst,IT Services and IT Consulting
3899522302,"Visium Resources, Inc.",Data Analyst,Data Analyst,28.5,HOURLY,"Irvine, CA",321125,26,Contract,0,Associate,BASE_SALARY,56680,Administrative,Staffing and Recruiting
